Change Physical Footprint: Designator=*3 Old Footprint=XMC4500 New Footprint=XMC4500
Change Physical Footprint: Designator=C1 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C2 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C3 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C4 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C5 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C6 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C7 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C8 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C9 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C10 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C11 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C12 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C13 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C14 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=C15 Old Footprint=CAPC_0805 New Footprint=CAPC_0805
Change Physical Footprint: Designator=P9 Old Footprint=Header 8x1 8.5mm New Footprint=Header 8x1 8.5mm
Change Physical Footprint: Designator=P10 Old Footprint=Header 8x1 8.5mm New Footprint=Header 8x1 8.5mm
Change Physical Footprint: Designator=P11 Old Footprint=Header 8x1 8.5mm New Footprint=Header 8x1 8.5mm
Change Physical Footprint: Designator=P12 Old Footprint=Header 8x1 8.5mm New Footprint=Header 8x1 8.5mm
Change Physical Footprint: Designator=P21 Old Footprint=connector1x2_parafuso New Footprint=connector1x2_parafuso
Change Physical Footprint: Designator=P22 Old Footprint=connector1x2_parafuso New Footprint=connector1x2_parafuso
Change Physical Footprint: Designator=P23 Old Footprint=connector1x2_parafuso New Footprint=connector1x2_parafuso
Change Physical Footprint: Designator=R6 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R8 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R9 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R13 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R15 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R19 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R20 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R21 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R22 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R23 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R26 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R27 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R28 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R29 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R30 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R33 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R34 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R35 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R36 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R37 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R38 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R39 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R40 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R41 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R42 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R43 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R44 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R45 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R46 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R47 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R48 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R49 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R50 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R51 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R52 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R53 Old Footprint=RESC_0805 New Footprint=RESC_0805
Change Physical Footprint: Designator=R54 Old Footprint=RESC_0805 New Footprint=RESC_0805
