"Bill of Material for "
"On 30/12/2019 at 17:48:57"

"Comment","Pattern","Quantity","Components"

"C 10nF 0805 MLCC 50V X7R","CAPC_0805","3","C4, C11, C14","Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%"
"C 10uF 0805 MLCC 25V X5R","CAPC_0805","9","C1, C2, C5, C6, C7, C8, C9, C12, C15","Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp"
"C 1uF 0805 MLCC 50V X5R","CAPC_0805","3","C3, C10, C13","Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R"
"IC AmpIso BIPOL AMC1200","SOIC8","3","U5, U8, U9","Amplificadores de isolamento 4kV peak Iso Amp"
"IC CC/CC 1W 5V","DC/DC_ISO","3","U3, U6, U7","Conversores CC/CC com isolação 1W 5Vin 5Vout 200mA SIP7"
"IC NAND HEF4011","SOIC-14N","3","U1, U2, U4","Portas lógicas QUADRUPLE 2-INPUT NAND GATE"
"IC XMC4500 Relax LITE","XMC4500","1","XMC1",""  KIT_XMC45_RELAX_LITE_V1 -  Evaluation Board, XMC4500 MCU, Detachable On-Board Debugger, USB Powered ""
"P 2p 5mm","connector1x2_parafuso","3","P7, P8, P9","Bloques de terminales de PCB de perfil estándar RS de 5,0 mm"
"P 8p 2.54 SR DW 8P","Header 8x1 8.5mm","6","P1, P2, P3, P4, P5, P6","Distribuidores e Alojamento de Fios CGrid Hrd SRDW THo le 8ckt"
"R 0 1/8W 0805","RESC_0805","17","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R17, R31, R39, R45","Resistores de Filme Espesso - SMD 1/8Watt 0ohms Commercial Use"
"R 100k 1/8W 0805 .1%","RESC_0805","30","R34, R35, R36, R37, R38, R40, R41, R42, R43, R44, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69","Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM"
"R 330 1/8 0805 .1%","RESC_0805","3","R32, R46, R47","Resistores de Filme Fino - SMD CPF 0805 330R 0.1% 25PPM 1K RL"
"R 3k6 1/8W 0805 .1%","RESC_0805","3","R33, R48, R49","Resistores de Filme Fino - SMD 1/8W 3.6K ohm .1% 25ppm"
"R 5k1 1/8W 0805 .1%","RESC_0805","8","R14, R15, R16, R21, R22, R23, R27, R28","Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm"
"R 7k5 1/8W 0805 .1%","RESC_0805","8","R18, R19, R20, R24, R25, R26, R29, R30","Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm"
