Altium Designer Pick and Place Locations;;;;;;;;;;
F:\Projects\20190909 - 3phase_inverter\3phase_inverter\2. Hardware PCB\REV_4.0\Project Outputs for controlo_rev4\Pick Place for controlo_rev4.csv;;;;;;;;;;
;;;;;;;;;;
========================================================================================================================;;;;;;;;;;
File Design Information:;;;;;;;;;;
;;;;;;;;;;
Date:       10/03/20;;;;;;;;;;
Time:       21:29;;;;;;;;;;
Revision:   Not in VersionControl;;;;;;;;;;
Variant:    No variations;;;;;;;;;;
Units used: mil;;;;;;;;;;
;;;;;;;;;;
Designator;Comment;Layer;Footprint;Center-X(mil);Center-Y(mil);Rotation;Description;LCSC PART #;;
C3;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;1765;2870;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C2;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;1295;2865;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C1;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;820;2865;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
U9;IC AmpIso BIPOL AMC1200;TopLayer;SOIC8;380;979,567;180;Amplificadores de isolamento 4kV peak Iso Amp;C94069;;
P3;P 8p 2.54 SR DW 8P;TopLayer;Header_8x1_8.5mm;1995;3505;360;Distribuidores e Alojamento de Fios CGrid Hrd SRDW THo le 8ckt;;;
P2;P 8p 2.54 SR DW 8P;TopLayer;Header_8x1_8.5mm;1995;3135;360;Distribuidores e Alojamento de Fios CGrid Hrd SRDW THo le 8ckt;;;
R3;R 0 1/8W 0805;TopLayer;RESC_0805;1405;2970;90;Resistores de Filme Espesso - SMD 1/8Watt 0ohms Commercial Use;C17477;;
R2;R 0 1/8W 0805;TopLayer;RESC_0805;1040;2970;90;Resistores de Filme Espesso - SMD 1/8Watt 0ohms Commercial Use;C17477;;
R1;R 0 1/8W 0805;TopLayer;RESC_0805;565;2970;90;Resistores de Filme Espesso - SMD 1/8Watt 0ohms Commercial Use;C17477;;
R27;R 7k5 1/8W 0805 .1%;TopLayer;RESC_0805;2965;1365;90;Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm;C17807;;
R24;R 5k1 1/8W 0805 .1%;TopLayer;RESC_0805;3060;1365;270;Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm;C27834;;
R21;R 7k5 1/8W 0805 .1%;TopLayer;RESC_0805;2710;1365;90;Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm;C17807;;
R17;R 5k1 1/8W 0805 .1%;TopLayer;RESC_0805;2810;1365;270;Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm;C27834;;
C18;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;200;1230;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
P11;P 2p 5mm;BottomLayer;connector1x2_parafuso;590;60;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
P9;P 2p 5mm;BottomLayer;connector1x2_parafuso;1574,37;65;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
U8;IC AmpIso BIPOL AMC1200;TopLayer;SOIC8;2395;979,567;180;Amplificadores de isolamento 4kV peak Iso Amp;C94069;;
U6;IC CC/CC 1W 5V;BottomLayer;DC/DC_ISO;2770;960,591;270;Conversores CC/CC com isolação 1W 5Vin 5Vout 200mA SIP7;;;
R67;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;575;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R66;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;440;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R65;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2390;305;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R64;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2255;235;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R63;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2292,401;60;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R57;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;575;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R56;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;440;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R55;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2820;305;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R54;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2954,37;215;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R53;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;2915;60;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R51;R 560 1/8W 0805 .1%;TopLayer;RESC_0805;2605;660;180;Resistores de Filme Fino - SMD 1/8W 3.6K ohm .1% 25ppm;C28636;;
R49;R 330 1/8 0805 .1%;TopLayer;RESC_0805;2509,64;1365;90;Resistores de Filme Fino - SMD CPF 0805 330R 0.1% 25PPM 1K RL;C17630;;
P10;P 2p 5mm;BottomLayer;connector1x2_parafuso;2595;60;360;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
C13;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;2195;1230;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C15;C 10nF 0805 MLCC 50V X7R;TopLayer;CAPC_0805;2610;1363,588;90;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%;C1710;;
C14;C 1uF 0805 MLCC 50V X5R;TopLayer;CAPC_0805;2603,588;575,539;180;Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R;C28323;;
