Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~174|Field=Footprint~String~Footprint~75|Field=LibRef~String~LibRef~75|Field=Quantity~Integer~Quantity~76|Field=Farnell VPN~String~Farnell VPN~100|Field=Mouser VPN~String~Mouser VPN~100|Field=PCDIGA VPN~String~PCDIGA VPN~100|Field=Price~String~Price~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~inversor_rev3.PrjPcb|ReportField=ProjectFullPath~F:\Projects\20190909 - 3phase_inverter\3phase_inverter\2. Hardware PCB\REV_3.0\inversor_rev3.PrjPcb|ReportField=Title~Bill of Materials For Project [inversor_rev3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~93|ReportField=ReportTime~10:58:41|ReportField=ReportDate~31/12/2019|ReportField=ReportDateTime~31/12/2019 10:58:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~31/12/2019|ReportField=CurrentTime~10:56:41|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Projects\20190909 - 3phase_inverter\3phase_inverter\2. Hardware PCB\REV_3.0\inversor_rev3.SchDoc|ReportField=DocumentName~inversor_rev3.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30/12/2019|ReportField=Organization~|ReportField=ProjectName~inversor_rev3.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~inversor_rev3.PrjPcb|ReportField=DataSourceFullPath~F:\Projects\20190909 - 3phase_inverter\3phase_inverter\2. Hardware PCB\REV_3.0\inversor_rev3.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|P 2p 5mm|Bloques de terminales de PCB de perfil estándar RS de 5,0 mm|+VDC1, -VDC1, U1, V1, W1|connector1x2_parafuso|gen_purpose_conn_1x2|5||||0,24
2|olhal||+VDC2, -VDC2|Olhal|olhal|2||||
3|C 10uF 0805 MLCC 25V X5R|Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp|C1, C2, C3, C18, C23, C26, C29|CAPC_0805|Capacitor SMD|7||963-TMK212BBJ106KG-T||0,162
4|C 10uF 2917 TANT 50V|Condensadores de tântalo - revestimento sólido de SMD 50V 10uF 10% ESR=0.8Ohms|C4, C5, C6, C7, C8, C9, C16, C17, C24|CAPC_2917|tantalum_CAP|9||80-T491D106K050AT||1,58
5|C 1nF 0805 MLCC 50V X7R|Capacitores de cerâmica multicamada MLCC - SMD/SMT WCAP-CSGP 1000pF 0805 10% 50V MLCC|C10, C11, C12, C13, C14, C15|CAPC_0805|Capacitor SMD|6||710-885012207086||0,08
6|C 10nF 0805 MLCC 50V X7R|Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%|C19, C20, C21, C22|CAPC_0805|Capacitor SMD|4||603-CC805KRX7R9BB103||0,099
7|C1uF 0805 MLCC 50V X5R|Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R|C25, C27, C28|CAPC_0805|Capacitor SMD|3||963-UMK212BJ105MG-T||0,153
8|IC CC 30A SO-8|Sensores de Corrente de Montagem de Painel Hall Effect IC LF 30A 66 mV/A|CC1, CC2, CC3|CC6303_SOP8|Current_Sensor_cc6303|3||630-ACHS-7123-000E||3,47
9|C 470uF EleCap TH 450V|Capacitores eletrolíticos de alumínio - terminal de pressão 450V 470uF 20% Tol.|C_bus1, C_bus2, C_bus3, C_bus4|Capacitor_DCBUS|CAPACITOR_dcbus|4||661-ESMR451N471MR40S||6,28
10|C 470nF PPCap TH 630V|B32653A6474K000 -  DC Film Capacitor, 0.47 µF, 630 V, Metallized PP, ± 10%, B32653 Series|C_bus5|Snubber_cap_0.47uF|CAPACITOR_dcbus|1|9751343|||2,18
11|IC DIO generic|Diodos - Fins gerais, energia, comutação Hi Conductance Fast|D1, D2, D3|Diode_th|Diode|3||512-1N4148TR||0,09
