"Index","X (mil)","Y (mil)","Arc Angle (Neg = CW)"
"0","1039","3030",""
"1","939","2930",""
"2","939","2780",""
"3","1014","2705",""
"4","1206","2705",""
"5","1356","2555",""
"6","1356","870",""
"7","1258.999","783",""
"8","815","783",""
"9","771","827",""
"10","771","1334.895",""
"11","661.566","1334.566",""
"12","489","1162",""
"13","489","13",""
"14","381","-95",""
"15","156","-95",""
"16","31","30",""
"17","31","230",""
"18","6","255",""
"19","-344","255",""
"20","-369","230",""
"21","-369","-130.471",""
"22","-308.999","-190.474",""
"23","-213.999","-190.472",""
"24","-129","-275.473",""
"25","-129","-370.471",""
"26","-79.471","-420",""
"27","656","-420",""
"28","2431","-420",""
"29","2481","-370",""
"30","2481","-170",""
"31","2431","-120",""
"32","936","-120",""
"33","856","-47.273",""
"34","856","255",""
"35","956","355",""
"36","1506","355",""
"37","1577","426",""
"38","1577","876",""
"39","1577","2600.999",""
"40","1681","2704.999",""
"41","2380.999","2705",""
"42","2456","2780",""
"43","2456","2958.6",""
"44","2372.588","3030",""
