"Index","X (mil)","Y (mil)","Arc Angle (Neg = CW)"
"0","1039","3030",""
"1","939","2930",""
"2","939","2780",""
"3","1014","2705",""
"4","1206","2705",""
"5","1357.469","2553.53",""
"6","1357.469","816.47",""
"7","1324","783",""
"8","814","783",""
"9","771","826",""
"10","771","1214.401",""
"11","741.4","1244",""
"12","586.59","1244",""
"13","489","1146.41",""
"14","489","13",""
"15","381","-95",""
"16","156","-95",""
"17","31","30",""
"18","31","230",""
"19","6","255",""
"20","-344","255",""
"21","-369","230",""
"22","-369","-130.472",""
"23","-309","-190.472",""
"24","-214.002","-190.472",""
"25","-129","-275.471",""
"26","-129","-370.472",""
"27","-79.472","-420",""
"28","656","-420",""
"29","2431","-420",""
"30","2481","-370",""
"31","2481","-170",""
"32","2431","-120",""
"33","936","-120",""
"34","856","-47.273",""
"35","856","255",""
"36","956","355",""
"37","1506","355",""
"38","1577","426",""
"39","1577","876",""
"40","1577","2600.999",""
"41","1681","2704.999",""
"42","2380.999","2705",""
"43","2456","2780",""
"44","2456","2958.6",""
"45","2372.588","3030",""
