Designator;Comment;Layer;Footprint;Center-X(mil);Center-Y(mil);Rotation;Description;LCSC PART #;;
P4;P 2p 5mm;BottomLayer;connector1x2_parafuso;3705;3045;270;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
P5;P 2p 5mm;BottomLayer;connector1x2_parafuso;3705;2433,425;270;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
P6;P 2p 5mm;BottomLayer;connector1x2_parafuso;3225;3735;180;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
U9;IC DUAL MOS DRIVER MIC4127;TopLayer;SOIC-MIC4126;2510;2615;270;Drivers de portas 1.5A Dual High Speed MOSFET Driver with Low Thermal Impedance;C20551;;
P7;P 2p 5mm;BottomLayer;connector1x2_parafuso;2775;3735;180;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
P8;P 2p 5mm;BottomLayer;connector1x2_parafuso;3705;1825;270;Bloques de terminales de PCB de perfil estándar RS de 5,0 mm;;;
XMC1;IC XMC4500 Relax LITE;BottomLayer;XMC4500;1277,457;2764;360;  KIT_XMC45_RELAX_LITE_V1 -  Evaluation Board; XMC4500 MCU; Detachable On-Board Debugger;" USB Powered """""
C3;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;979;3156;90;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C2;C 1uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;887;3156;90;MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 0805 ROHS;C28323;;
C1;C 100nF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;793;3156;90;MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100NF 50V 0805 ROHS; C49678;;
U4;IC RS485;TopLayer;NSO8_M;751;1931;270;  RS-485 & RS-422 1/1 20MBPS 3V ~ 3.6V SOIC-8_150MIL ROHS;C57928;;
U3;IC DCDC 3V3 SOT223;TopLayer;PG-SOT-223;125;2830;180;LINEAR VOLTAGE REGULATORS SOT-223 ROHS;C91389;;
rs1;con-phoenix-3;BottomLayer;molex_3P;121;1604;90;;;;
DC Pluyg1;DC PLUG;TopLayer;DC_Plug;782,48;3426,89;90;;;;
U7;IC MOS P 20V 1.5A;TopLayer;SOT23-3;114;2317;0;MOSFET P TRENCH 20V 1A 2.3V @ 250UA 180 M? @ 1.5A,10V SOT-23(SOT-23-3) ROHS;C129192;;
U6;IC MOS N 100V 170MA;TopLayer;SOT23-3;971;2115;360;MOSFET N TRENCH 100V 170MA 2V @ 1MA 6 ? @ 170MA,10V SOT-23(SOT-23-3) ROHS;C79015;;
U5;IC MOS P 20V 1.5A;TopLayer;SOT23-3;202;2177;360;MOSFET P TRENCH 20V 1A 2.3V @ 250UA 180 M? @ 1.5A,10V SOT-23(SOT-23-3) ROHS;C129192;;
TX1;Green;TopLayer;CD2012-0805;191;1857;90;LED 2X1.2MM 570NM GN WTR CLR SMD;C84256;;
TVS1;Diode_TVS_Array;TopLayer;SOT23-3;470;1627;180;DIODES - ESD SOT-23 ROHS;C404012;;
RX1;Green;TopLayer;CD2012-0805;80;1857;90;LED 2X1.2MM 570NM GN WTR CLR SMD;C84256;;
RB1;10;TopLayer;RESC_0805;625;1701;0;CHIP RESISTOR - SURFACE MOUNT 10OHMS ±1% 1/8W 0805 ROHS;C17415;;
RAB1;120;TopLayer;RESC_1206;335;1628;90;CHIP RESISTOR - SURFACE MOUNT 120OHMS ±1% 1/4W 1206 ROHS;C17909;;
RA1;10;TopLayer;RESC_0805;674;1588;0;CHIP RESISTOR - SURFACE MOUNT 10OHMS ±1% 1/8W 0805 ROHS;C17415;;
R12;R 10k 1/8W 0805;TopLayer;RESC_0805;114;2443;360;  CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/8W 0805 ROHS;C17414;;
R11;R 10k 1/8W 0805;TopLayer;RESC_0805;686;2145;0;  CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/8W 0805 ROHS;C17414;;
R10;R 470 1/8W 0805;TopLayer;RESC_0805;81;2030;90;CHIP RESISTOR - SURFACE MOUNT 470OHMS ±1% 1/8W 0805 ROHS;C17710;;
R9;R 10k 1/8W 0805;TopLayer;RESC_0805;248;2361;90;  CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/8W 0805 ROHS;C17414;;
